date,BOXX,SGOV
2024-04-19,106.4834518433,91.0741043091
2024-04-22,106.4934234619,91.0831527710
2024-04-23,106.4934234619,91.0922088623
2024-04-24,106.5203552246,91.1012573242
2024-04-25,106.5632400513,91.1465148926
2024-04-26,106.5931549072,91.1646270752
2024-04-29,106.5931549072,91.1646270752
2024-04-30,106.6131057739,91.1736907959
2024-05-01,106.6280670166,91.2082290649
2024-05-02,106.6779251099,91.2446060181
2024-05-03,106.7028656006,91.2627868652
2024-05-06,106.7228164673,91.2718887329
2024-05-07,106.7128372192,91.2718887329
2024-05-08,106.7427597046,91.2991485596
2024-05-09,106.7926254272,91.3264465332
2024-05-10,106.8325195312,91.3537368774
2024-05-13,106.8424835205,91.3628158569
2024-05-14,106.8424835205,91.3628158569
2024-05-15,106.8325195312,91.3809967041
2024-05-16,106.9123001099,91.4264602661
2024-05-17,106.9222717285,91.4355468750
2024-05-20,106.9272537231,91.4446563721
2024-05-21,106.9422225952,91.4628219604
2024-05-22,106.9521942139,91.4719314575
2024-05-23,107.0020599365,91.5355606079
2024-05-24,107.0369644165,91.5446701050
2024-05-28,107.0319824219,91.5537490845
2024-05-29,107.0369644165,91.5537490845
2024-05-30,107.0419540405,91.5718994141
2024-05-31,107.0918121338,91.6083145142
2024-06-03,107.1017913818,91.6265716553
2024-06-04,107.1217422485,91.6448364258
2024-06-05,107.1416854858,91.6631011963
2024-06-06,107.1666183472,91.6631011963
2024-06-07,107.1815795898,91.6996307373
2024-06-10,107.1815795898,91.7178955078
2024-06-11,107.1915512085,91.7361679077
2024-06-12,107.2114944458,91.7544479370
2024-06-13,107.2414169312,91.7635650635
2024-06-14,107.3012542725,91.8092346191
2024-06-17,107.3112258911,91.8183364868
2024-06-18,107.3710708618,91.8457717896
2024-06-20,107.3610916138,91.8548812866
2024-06-21,107.4309082031,91.8914260864
2024-06-24,107.4608230591,91.9005279541
2024-06-25,107.4708023071,91.9188156128
2024-06-26,107.4309082031,91.9279403687
2024-06-27,107.4508514404,91.9370727539
2024-06-28,107.5256500244,91.9735717773
2024-07-01,107.5406112671,92.0093688965
2024-07-02,107.5306396484,92.0185699463
2024-07-03,107.5805053711,92.0460586548
2024-07-05,107.6303634644,92.0827636719
2024-07-08,107.6503143311,92.1011047363
2024-07-09,107.6602859497,92.1011047363
2024-07-10,107.6403427124,92.1194381714
2024-07-11,107.6902084351,92.1377944946
2024-07-12,107.7400741577,92.1836700439
2024-07-15,107.7600250244,92.1836700439
2024-07-16,107.7699890137,92.2019958496
2024-07-17,107.7699890137,92.2111740112
2024-07-18,107.8098831177,92.2295074463
2024-07-19,107.8597564697,92.2661972046
2024-07-22,107.8796997070,92.2845611572
2024-07-23,107.8996429443,92.2937240601
2024-07-24,107.8996429443,92.3028793335
2024-07-25,107.8996429443,92.3212585449
2024-07-26,107.9694595337,92.3487701416
2024-07-29,107.9794235229,92.3762512207
2024-07-30,107.9993743896,92.3762512207
2024-07-31,108.0093536377,92.3854675293
2024-08-01,108.0093536377,92.4158706665
2024-08-02,108.0193176270,92.4619445801
2024-08-05,108.0292968750,92.4711456299
2024-08-06,108.0292968750,92.4895706177
2024-08-07,108.0592117310,92.4895706177
2024-08-08,108.0941238403,92.5172119141
2024-08-09,108.1389999390,92.5448684692
2024-08-12,108.1389999390,92.5633010864
2024-08-13,108.1500015259,92.5817031860
2024-08-14,108.1800003052,92.6001434326
2024-08-15,108.2099990845,92.6093673706
2024-08-16,108.2500000000,92.6461868286
2024-08-19,108.2699966431,92.6554260254
2024-08-20,108.2500000000,92.6646347046
2024-08-21,108.3000030518,92.6922836304
2024-08-22,108.3000030518,92.6922836304
2024-08-23,108.3700027466,92.7291259766
2024-08-26,108.3600006104,92.7475509644
2024-08-27,108.4000015259,92.7567672729
2024-08-28,108.4300003052,92.7659912109
2024-08-29,108.4199981689,92.7752075195
2024-08-30,108.4899978638,92.8212585449
2024-09-03,108.5299987793,92.8619918823
2024-09-04,108.5299987793,92.8712539673
2024-09-05,108.5400009155,92.8990249634
2024-09-06,108.5699996948,92.9360275269
2024-09-09,108.5899963379,92.9452819824
2024-09-10,108.6200027466,92.9637985229
2024-09-11,108.6200027466,92.9637985229
2024-09-12,108.6299972534,92.9730682373
2024-09-13,108.6800003052,93.0285644531
2024-09-16,108.6900024414,93.0470886230
2024-09-17,108.6900024414,93.0470886230
2024-09-18,108.7399978638,93.0748596191
2024-09-19,108.7600021362,93.0933456421
2024-09-20,108.8099975586,93.1303863525
2024-09-23,108.8199996948,93.1581497192
2024-09-24,108.8399963379,93.1673889160
2024-09-25,108.8600006104,93.1673889160
2024-09-26,108.8700027466,93.1766662598
2024-09-27,108.8899993896,93.2136764526
2024-09-30,108.9300003052,93.2136764526
2024-10-01,108.9400024414,93.2508468628
2024-10-02,108.9700012207,93.2508468628
2024-10-03,108.9800033569,93.2601318359
2024-10-04,109.0350036621,93.2973251343
2024-10-07,109.0299987793,93.3066253662
2024-10-08,109.0699996948,93.3159103394
2024-10-09,109.0800018311,93.3344955444
2024-10-10,109.0800018311,93.3530883789
2024-10-11,109.1299972534,93.3902816772
2024-10-14,109.1200027466,93.3902816772
2024-10-15,109.1600036621,93.4088592529
2024-10-16,109.1699981689,93.4274368286
2024-10-17,109.1699981689,93.4274368286
2024-10-18,109.2399978638,93.4646301270
2024-10-21,109.2500000000,93.4832077026
2024-10-22,109.2699966431,93.4924926758
2024-10-23,109.2900009155,93.4924926758
2024-10-24,109.2900009155,93.5203933716
2024-10-25,109.3199996948,93.5575866699
2024-10-28,109.3700027466,93.5575866699
2024-10-29,109.3499984741,93.5761489868
2024-10-30,109.3899993896,93.5761489868
2024-10-31,109.4000015259,93.5947265625
2024-11-01,109.4400024414,93.6460647583
2024-11-04,109.4700012207,93.6553955078
2024-11-05,109.4649963379,93.6740646362
2024-11-06,109.4899978638,93.6740646362
2024-11-07,109.5199966431,93.6927413940
2024-11-08,109.5500030518,93.7394104004
2024-11-11,109.5599975586,93.7300720215
2024-11-12,109.5400009155,93.7394104004
2024-11-13,109.5500030518,93.7674026489
2024-11-14,109.5800018311,93.7674026489
2024-11-15,109.6100006104,93.8140792847
2024-11-18,109.6100006104,93.8234024048
2024-11-19,109.6200027466,93.8327331543
2024-11-20,109.6350021362,93.8514022827
2024-11-21,109.6399993896,93.8514022827
2024-11-22,109.6800003052,93.8793716431
2024-11-25,109.7099990845,93.8887405396
2024-11-26,109.7399978638,93.9074020386
2024-11-27,109.7600021362,93.9260559082
