date,QQQ,QLD,XLU,IAU,TLT,BIL,SVXY
2010-02-16,38.4258346558,0.8455175161,8.3268613815,21.9360008240,55.8169174194,73.4811401367,
2010-02-17,38.6426010132,0.8545245528,8.2927722931,21.8659992218,55.1806449890,73.4330139160,
2010-02-18,38.8853569031,0.8655171394,8.3382272720,22.0100002289,54.9583129883,73.4650955200,
2010-02-19,38.8680191040,0.8644493222,8.4547080994,21.9120006561,55.2547721863,73.4330139160,
2010-02-22,38.7900009155,0.8607851863,8.4092493057,21.8339996338,55.0262489319,73.4650955200,
2010-02-23,38.2871208191,0.8389521837,8.3524293900,21.5919990540,55.8848686218,73.4330139160,
2010-02-24,38.6772766113,0.8554411530,8.3609533310,21.4839992523,56.0207023621,73.4650955200,
2010-02-25,38.6685943604,0.8572732210,8.3439044952,21.6679992676,56.3357658386,73.4650955200,
2010-02-26,38.8073425293,0.8623113036,8.2785634995,21.8920001984,56.6261558533,73.4650955200,
2010-03-01,39.3708992004,0.8865870833,8.3978872299,21.8959999084,56.6013107300,73.4330139160,
2010-03-02,39.4922637939,0.8919308186,8.4234552383,22.2199993134,56.5269699097,73.4490737915,
2010-03-03,39.5356140137,0.8940679431,8.4092493057,22.3360004425,56.3844833374,73.4330139160,
2010-03-04,39.6656684875,0.8997166753,8.4262971878,22.1900005341,56.6819000244,73.4330139160,
2010-03-05,40.2639083862,0.9262824655,8.5115251541,22.1800003052,55.9382820129,73.4330139160,
2010-03-08,40.3419265747,0.9305574894,8.5115251541,21.9920005798,55.6470298767,73.4330139160,
2010-03-09,40.5673713684,0.9432299137,8.5001592636,21.9580001831,55.6594276428,73.4330139160,
2010-03-10,40.8968200684,0.9560546279,8.5030002594,21.7000007629,55.5169258118,73.4490737915,
2010-03-11,41.0528831482,0.9629247189,8.5314102173,21.7280006409,55.7214317322,73.4330139160,
2010-03-12,41.0615463257,0.9642985463,8.4774322510,21.6100006104,56.0683822632,73.4330139160,
2010-03-15,40.9575042725,0.9603295326,8.5086851120,21.6919994354,55.9940605164,73.4330139160,
2010-03-16,41.2176055908,0.9720851779,8.6081161499,22.0879993439,56.4402236938,73.4330139160,
2010-03-17,41.3303070068,0.9755970836,8.6365270615,21.9279994965,56.6819000244,73.4330139160,
2010-03-18,41.4690551758,0.9824671149,8.5967521667,22.0760002136,56.4959945679,73.4330139160,
2010-03-19,41.2182159424,0.9711688161,8.5872945786,21.6720008850,56.5517730713,73.4330139160,
2010-03-22,41.5914154053,0.9885741472,8.5299701691,21.5620002747,56.6137351990,73.4490737915,
2010-03-23,41.8778266907,1.0027728081,8.5643625259,21.6760005951,56.3472557068,73.4490737915,
2010-03-24,41.6782112122,0.9931544065,8.4755115509,21.2840003967,55.3185882568,73.4330139160,
2010-03-25,41.6174736023,0.9888793230,8.4210519791,21.3680000305,54.9653587341,73.4650955200,
2010-03-26,41.6608619690,0.9923907518,8.4411134720,21.7299995422,55.1203155518,73.4650955200,
2010-03-29,41.8604850769,1.0012465715,8.5443000793,21.7660007477,54.9096183777,73.4330139160,
2010-03-30,41.9993515015,1.0076584816,8.5213680267,21.6079998016,55.0830955505,73.4330139160,
2010-03-31,41.7997207642,0.9991086125,8.5013093948,21.8059997559,55.4611167908,73.4650955200,
2010-04-01,41.7997207642,0.9981932044,8.6188220978,22.0659999847,55.3255653381,73.4650955200,
2010-04-05,42.1903114319,1.0159033537,8.6704177856,22.1840000153,54.4049911499,73.4330139160,
2010-04-06,42.3118019104,1.0215522051,8.7420701981,22.2240009308,54.4920692444,73.4330139160,
2010-04-07,42.2076454163,1.0177353621,8.6560831070,22.5060005188,55.1886749268,73.4330139160,
2010-04-08,42.3031158447,1.0206356049,8.6044950485,22.5440006256,55.2135963440,73.4330139160,
2010-04-09,42.5548248291,1.0333081484,8.6675491333,22.7479991913,55.3442306519,73.4330139160,
2010-04-12,42.5895423889,1.0348352194,8.6904792786,22.6259994507,55.6365394592,73.4330139160,
2010-04-13,42.8065376282,1.0455220938,8.6446189880,22.5459995270,55.8169021606,73.4330139160,
2010-04-14,43.3186035156,1.0707128048,8.6532192230,22.6200008392,55.4250564575,73.4330139160,
2010-04-15,43.5095710754,1.0800271034,8.6503534317,22.7420005798,55.4872550964,73.4330139160,
2010-04-16,42.9887924194,1.0545296669,8.5500307083,22.2679996490,55.8915252686,73.4330139160,
2010-04-19,42.9627456665,1.0526978970,8.5586261749,22.2420005798,55.7547225952,73.4490737915,
2010-04-20,43.1797370911,1.0636905432,8.6675491333,22.3080005646,55.9537353516,73.4330139160,
2010-04-21,43.4227638245,1.0755984783,8.6761484146,22.4820003510,56.4140243530,73.4330139160,
2010-04-22,43.6657791138,1.0868972540,8.7048120499,22.3840007782,56.2460594177,73.4330139160,
2010-04-23,43.8480300903,1.0962103605,8.7735967636,22.6459999084,56.0470466614,73.4330139160,
2010-04-26,43.7525749207,1.0908660889,8.7420701981,22.5680007935,56.1091918945,73.4490737915,
2010-04-27,42.8238906860,1.0459805727,8.5930280685,22.9419994354,56.8991127014,73.4330139160,
2010-04-28,42.8499183655,1.0468957424,8.6818799973,22.8719997406,56.4140243530,73.4490737915,
2010-04-29,43.5963439941,1.0821642876,8.6904792786,22.8700008392,56.6503601074,73.4490737915,
2010-04-30,42.7370948792,1.0412467718,8.7248754501,23.0839996338,57.3034591675,73.4330139160,
2010-05-03,43.3359642029,1.0691871643,8.8366575241,23.1639995575,57.2285194397,73.4490737915,
2010-05-04,42.0340728760,1.0046049356,8.6847476959,22.9899997711,58.2584114075,73.4330139160,
2010-05-05,41.8170814514,0.9948335290,8.6245546341,23.0340003967,58.6016731262,73.4490737915,
2010-05-06,40.4197158813,0.9290302396,8.3866567612,23.7040004730,60.4117202759,73.4650955200,
2010-05-07,39.4129180908,0.8842964172,8.3407955170,23.6700000763,59.6564865112,73.4650955200,
2010-05-10,41.4612350464,0.9725435376,8.5987586975,23.5179996490,58.4206428528,73.4650955200,
2010-05-11,41.4178237915,0.9714746475,8.6159563065,24.1399993896,58.2708740234,73.4650955200,
2010-05-12,42.1989746094,1.0076584816,8.6876125336,24.2900009155,57.8277854919,73.4650955200,
2010-05-13,41.5306587219,0.9762078524,8.6503534317,24.1319999695,58.2084617615,73.4490737915,
2010-05-14,40.7321662903,0.9395655990,8.5786972046,24.0960006714,59.2195701599,73.4650955200,
2010-05-17,40.8623733521,0.9453669190,8.5872945786,23.8880004883,59.0011520386,73.4650955200,
2010-05-18,40.2981910706,0.9192590117,8.5041723251,23.9060001373,59.9061546326,73.4490737915,
2010-05-19,39.9770698547,0.9030760527,8.4181842804,23.3519992828,60.1058769226,73.4650955200,
2010-05-20,38.4929046631,0.8378831744,8.1659545898,23.1760005951,61.3729209900,73.4650955200,
2010-05-21,38.9181785583,0.8551354408,8.2032175064,23.0599994659,61.4352912903,73.4650955200,
2010-05-24,38.7619590759,0.8473496437,8.1258258820,23.3759994507,61.2231559753,73.4650955200,
2010-05-25,38.7966804504,0.8493341208,8.0828323364,23.4799995422,61.5227241516,73.4650955200,
2010-05-26,38.3627014160,0.8287228346,8.0799703598,23.7119998932,61.3479080200,73.4811401367,
2010-05-27,39.8121604919,0.8937630057,8.2347469330,23.7500000000,59.9561119080,73.4490737915,
2010-05-28,39.5777969360,0.8823120594,8.2433443069,23.7779998779,60.2307167053,73.4650955200,
2010-06-01,39.2132835388,0.8653647900,8.0513067245,23.9860000610,60.6540489197,73.4650955200,
2010-06-02,40.1419601440,0.9078091979,8.2204122543,23.9699993134,60.0779418945,73.4811401367,
2010-06-03,40.5238647461,0.9238399267,8.3064002991,23.6019992828,59.6395378113,73.4490737915,
2010-06-04,39.1351776123,0.8630744219,8.0599050522,23.8579998016,61.2427825928,73.4811401367,
2010-06-07,38.4234580994,0.8308606744,8.1086311340,24.3059997559,61.7124900818,73.4650955200,
2010-06-08,38.3540344238,0.8273488879,8.2146797180,24.2159996033,61.4055099487,73.4811401367,
2010-06-09,38.0328826904,0.8126920462,8.1688241959,24.1259994507,61.3367042542,73.4811401367,
2010-06-10,39.1177940369,0.8589529395,8.3694591522,23.8040008545,60.2407302856,73.4811401367,
2010-06-11,39.4910202026,0.8749836087,8.3751907349,24.0240001678,61.0047798157,73.4811401367,
2010-06-14,39.4823417664,0.8751360774,8.4239168167,23.9400005341,60.6916503906,73.4490737915,
2010-06-15,40.5412216187,0.9217020273,8.5872945786,24.2159996033,60.4411735535,73.4490737915,
2010-06-16,40.7061195374,0.9305574894,8.6417531967,24.0820007324,60.7855987549,73.4490737915,
2010-06-17,40.8363227844,0.9359015226,8.7048120499,24.3920001984,61.2803001404,73.4490737915,
2010-06-18,40.8702354431,0.9384968281,8.7126331329,24.5839996338,61.1801872253,73.4650955200,
2010-06-21,40.5224037170,0.9249089956,8.6518011093,24.0960006714,61.0047798157,73.4490737915,
2010-06-22,40.2093467712,0.9067400694,8.4374666214,24.3040008545,61.7312965393,73.4650955200,
2010-06-23,40.0441322327,0.9003273249,8.3621559143,24.2119998932,62.1508026123,73.4650955200,
2010-06-24,39.4354209900,0.8722348809,8.3158102036,24.2800006866,61.7813606262,73.4650955200,
2010-06-25,39.4432716370,0.8687241077,8.3534669876,24.5799999237,62.0318565369,73.4650955200,
2010-06-28,39.3038749695,0.8633804917,8.4085016251,24.2199993134,62.6142883301,73.4650955200,
2010-06-29,37.7878112793,0.7968137860,8.2376079559,24.2800006866,63.2969284058,73.4650955200,
2010-06-30,37.2127723694,0.7725381255,8.1854696274,24.3400001526,63.7227897644,73.4811401367,
2010-07-01,37.1082344055,0.7679583430,8.1478166580,23.4200000763,63.8232841492,73.4650955200,
2010-07-02,37.0036659241,0.7635301352,8.1565046310,23.7000007629,63.3145294189,73.4650955200,
2010-07-06,37.1169395447,0.7674999237,8.2520866394,23.3199996948,63.8359222412,73.4490737915,
2010-07-07,38.3018608093,0.8162035942,8.5069789886,23.5599994659,63.0883483887,73.4490737915,
2010-07-08,38.5109977722,0.8247536421,8.5735998154,23.4799995422,62.6863136292,73.4650955200,
2010-07-09,38.8769378662,0.8412427306,8.6315288544,23.6800003052,62.3282203674,73.4490737915,
2010-07-12,38.9902191162,0.8458223939,8.6604938507,23.5000000000,62.3031082153,73.4650955200,
2010-07-13,39.4955406189,0.8665861487,8.6894626617,23.6800003052,61.7691421509,73.4650955200,
2010-07-14,39.6959609985,0.8766633272,8.6923542023,23.6800003052,62.3910636902,73.4650955200,
2010-07-15,39.7307853699,0.8788003325,8.7502851486,23.6599998474,63.0129280090,73.4650955200,
2010-07-16,38.6329727173,0.8304024935,8.5996665955,23.3600006104,63.3207626343,73.4650955200,
2010-07-19,38.9640655518,0.8438379765,8.7329053879,23.1599998474,62.9312858582,73.4490737915,
2010-07-20,39.4345512390,0.8632279634,8.8111076355,23.3600006104,63.0255393982,73.4490737915,
2010-07-21,38.8943557739,0.8407842517,8.6749773026,23.1800003052,64.0933914185,73.4490737915,
2010-07-22,39.8789253235,0.8829227090,8.8140106201,23.3799991608,63.3521270752,73.4490737915,
2010-07-23,40.1315917969,0.8942203522,8.8284902573,23.2199993134,62.6799850464,73.4650955200,
2010-07-26,40.4626846313,0.9081140757,8.8922109604,23.1200008392,62.5731887817,73.4330139160,
2010-07-27,40.4452552795,0.9075031281,9.0225534439,22.7399997711,61.9701766968,73.4330139160,
2010-07-28,40.1228752136,0.8936094046,8.9791069031,22.7800006866,62.1711807251,73.4490737915,
2010-07-29,39.8266525269,0.8801741004,8.8400764465,22.8600006104,62.1523017883,73.4330139160,
2010-07-30,39.9137611389,0.8846023679,8.7966289520,23.1200008392,63.1197662354,73.4490737915,
2010-08-02,40.6630744934,0.9169697762,8.9791069031,23.1399993896,62.2335891724,73.4330139160,
2010-08-03,40.4888267517,0.9097935557,8.9356632233,23.2199993134,62.5929107666,73.4330139160,
2010-08-04,40.8983039856,0.9282671213,8.9733114243,23.3600006104,62.1139335632,73.4330139160,
2010-08-05,40.8024864197,0.9238399267,8.9588346481,23.3999996185,62.4038352966,73.4330139160,
2010-08-06,40.7415046692,0.9207863212,8.9762096405,23.6000003815,63.0844993591,73.4330139160,
2010-08-09,41.0203094482,0.9325421453,9.0080728531,23.5000000000,62.8512573242,73.4330139160,
2010-08-10,40.6630744934,0.9180377126,9.0602102280,23.5799999237,62.9835586548,73.4490737915,
2010-08-11,39.5565490723,0.8671970963,8.8777275085,23.5000000000,63.8281364441,73.4650955200,
2010-08-12,39.2428817749,0.8525401354,8.8603544235,23.7800006866,63.6705207825,73.4650955200,
2010-08-13,38.9640655518,0.8406319022,8.8922109604,23.7800006866,64.4646453857,73.4650955200,
2010-08-16,39.0337677002,0.8438379765,8.8922109604,23.9400005341,66.0779418945,73.4490737915,
2010-08-17,39.5304069519,0.8652125001,8.9791069031,23.9599990845,65.6998291016,73.4650955200,
2010-08-18,39.6872291565,0.8716242909,8.9298686981,24.0599994659,65.8762741089,73.4490737915,
2010-08-19,39.0860404968,0.8455175161,8.8024215698,24.0799999237,66.9035263062,73.4490737915,
2010-08-20,39.1383209229,0.8476544023,8.8255958557,24.0200004578,66.8279037476,73.4650955200,
2010-08-23,38.7549667358,0.8310130835,8.8835229874,23.9799995422,66.8405151367,73.4490737915,
2010-08-24,38.0317878723,0.8009363413,8.8980026245,24.1000003815,67.9118804932,73.4490737915,
2010-08-25,38.3977279663,0.8151347637,8.8922109604,24.2800006866,67.6912841797,73.4650955200,
2010-08-26,37.9359397888,0.7963554859,8.8516616821,24.2000007629,68.3278198242,73.4490737915,
2010-08-27,38.3977279663,0.8163561225,9.0196590424,24.2399997711,66.3930664062,73.4490737915,
2010-08-30,37.9969291687,0.7986459136,8.8835229874,24.2000007629,67.6660842896,73.4650955200,
2010-08-31,37.8662261963,0.7942186594,8.9240770340,24.4400005341,68.4160156250,73.4490737915,
2010-09-01,38.9989280701,0.8397154212,9.1181373596,24.3799991608,67.0014419556,73.4490737915,
2010-09-02,39.4345512390,0.8592577577,9.1181373596,24.4799995422,66.2934570312,73.4650955200,
2010-09-03,40.0880241394,0.8885715604,9.1586866379,24.3799991608,65.4717788696,73.4650955200,
