date,VIX,VIX3M
2022-03-18,23.8700000000,26.5500000000
2022-03-21,23.5300000000,26.3800000000
2022-03-22,22.9400000000,25.8500000000
2022-03-23,23.5700000000,26.4100000000
2022-03-24,21.6700000000,25.3000000000
2022-03-25,20.8100000000,24.7200000000
2022-03-28,19.6300000000,24.1800000000
2022-03-29,18.9000000000,23.1900000000
2022-03-30,19.3300000000,23.5700000000
2022-03-31,20.5600000000,24.4600000000
2022-04-01,19.6300000000,24.2100000000
2022-04-04,18.5700000000,23.0300000000
2022-04-05,21.0300000000,24.9000000000
2022-04-06,22.1000000000,25.8000000000
2022-04-07,21.5500000000,25.2300000000
2022-04-08,21.1600000000,25.1700000000
2022-04-11,24.3700000000,27.0000000000
2022-04-12,24.2600000000,27.1700000000
2022-04-13,21.8200000000,25.5400000000
2022-04-14,22.7000000000,26.0300000000
2022-04-18,22.1700000000,25.7500000000
2022-04-19,21.3700000000,25.0600000000
2022-04-20,20.3200000000,24.1500000000
2022-04-21,22.6800000000,26.1100000000
2022-04-22,28.2100000000,29.8700000000
2022-04-25,27.0200000000,29.0700000000
2022-04-26,33.5200000000,33.1400000000
2022-04-27,31.6000000000,32.2000000000
2022-04-28,29.9900000000,31.1500000000
2022-04-29,33.4000000000,33.1800000000
2022-05-02,32.3400000000,33.0100000000
2022-05-03,29.2500000000,30.8100000000
2022-05-04,25.4200000000,28.0900000000
2022-05-05,31.2000000000,32.6800000000
2022-05-06,30.1900000000,32.3100000000
2022-05-09,34.7500000000,35.0500000000
2022-05-10,32.9900000000,33.9700000000
2022-05-11,32.5600000000,33.6300000000
2022-05-12,31.7700000000,33.0800000000
2022-05-13,28.8700000000,30.7000000000
2022-05-16,27.4700000000,29.5100000000
2022-05-17,26.1000000000,28.3700000000
2022-05-18,30.9600000000,32.8000000000
2022-05-19,29.3500000000,30.7900000000
2022-05-20,29.4300000000,31.1400000000
2022-05-23,28.4800000000,30.2900000000
2022-05-24,29.4500000000,30.7400000000
2022-05-25,28.3700000000,29.7300000000
2022-05-26,27.5000000000,29.2800000000
2022-05-27,25.7200000000,28.0200000000
2022-05-30,26.5400000000,
2022-05-31,26.1900000000,27.9900000000
2022-06-01,25.6900000000,27.7200000000
2022-06-02,24.7200000000,27.0600000000
2022-06-03,24.7900000000,27.3300000000
2022-06-06,25.0700000000,27.2200000000
2022-06-07,24.0200000000,26.5200000000
2022-06-08,23.9600000000,26.5400000000
2022-06-09,26.0900000000,28.0100000000
2022-06-10,27.7500000000,29.7200000000
2022-06-13,34.0200000000,34.2400000000
2022-06-14,32.6900000000,33.2800000000
2022-06-15,29.6200000000,30.7800000000
2022-06-16,32.9500000000,33.4900000000
2022-06-17,31.1300000000,32.3600000000
2022-06-20,31.0300000000,
2022-06-21,30.1900000000,31.2500000000
2022-06-22,28.9500000000,30.2400000000
2022-06-23,29.0500000000,30.1900000000
2022-06-24,27.2300000000,28.9500000000
2022-06-27,26.9500000000,28.1800000000
2022-06-28,28.3600000000,29.1500000000
2022-06-29,28.1600000000,29.0000000000
2022-06-30,28.7100000000,29.7100000000
2022-07-01,26.7000000000,28.5200000000
2022-07-04,27.5300000000,
2022-07-05,27.5400000000,28.9000000000
2022-07-06,26.7300000000,28.3900000000
2022-07-07,26.0800000000,28.0300000000
2022-07-08,24.6400000000,27.3000000000
2022-07-11,26.1700000000,28.2500000000
2022-07-12,27.2900000000,28.8200000000
2022-07-13,26.8200000000,28.5600000000
2022-07-14,26.4000000000,28.6100000000
2022-07-15,24.2300000000,27.0800000000
2022-07-18,25.3000000000,27.8200000000
2022-07-19,24.5000000000,27.3100000000
2022-07-20,23.8800000000,26.7000000000
2022-07-21,23.1100000000,26.2200000000
2022-07-22,23.0300000000,25.9700000000
2022-07-25,23.3600000000,25.8000000000
2022-07-26,24.6900000000,26.4200000000
2022-07-27,23.2400000000,25.3100000000
2022-07-28,22.3300000000,24.3300000000
2022-07-29,21.3300000000,23.7900000000
2022-08-01,22.8400000000,24.8600000000
2022-08-02,23.9300000000,25.6600000000
2022-08-03,21.9500000000,24.3700000000
2022-08-04,21.4400000000,24.3200000000
2022-08-05,21.1500000000,24.1800000000
2022-08-08,21.2900000000,24.4800000000
2022-08-09,21.7700000000,24.6900000000
2022-08-10,19.7400000000,23.4600000000
2022-08-11,20.2000000000,23.7100000000
2022-08-12,19.5300000000,23.3100000000
2022-08-15,19.9500000000,23.3200000000
2022-08-16,19.6900000000,23.3200000000
2022-08-17,19.9000000000,23.6000000000
2022-08-18,19.5600000000,23.3900000000
2022-08-19,20.6000000000,24.3200000000
2022-08-22,23.8000000000,26.0000000000
2022-08-23,24.1100000000,25.9200000000
2022-08-24,22.8200000000,24.8900000000
2022-08-25,21.7800000000,24.1300000000
2022-08-26,25.5600000000,26.5600000000
2022-08-29,26.2100000000,26.8200000000
2022-08-30,26.2100000000,26.9100000000
2022-08-31,25.8700000000,26.6500000000
2022-09-01,25.5600000000,26.4300000000
2022-09-02,25.4700000000,26.4800000000
2022-09-05,25.9900000000,
2022-09-06,26.9100000000,27.5900000000
2022-09-07,24.6400000000,26.1000000000
2022-09-08,23.6100000000,25.5200000000
2022-09-09,22.7900000000,25.1400000000
2022-09-12,23.8700000000,25.3700000000
2022-09-13,27.2700000000,27.9500000000
2022-09-14,26.1600000000,27.4600000000
2022-09-15,26.2700000000,27.6000000000
2022-09-16,26.3000000000,27.6300000000
2022-09-19,25.7600000000,27.0100000000
2022-09-20,27.1600000000,27.8800000000
2022-09-21,27.9900000000,28.7600000000
2022-09-22,27.3500000000,28.2200000000
2022-09-23,29.9200000000,30.3200000000
2022-09-26,32.2600000000,31.7700000000
2022-09-27,32.6000000000,32.1200000000
2022-09-28,30.1800000000,30.5800000000
2022-09-29,31.8400000000,31.7400000000
2022-09-30,31.6200000000,31.8600000000
2022-10-03,30.1000000000,30.6900000000
2022-10-04,29.0700000000,29.6700000000
2022-10-05,28.5500000000,29.4300000000
2022-10-06,30.5200000000,30.7900000000
2022-10-07,31.3600000000,32.1000000000
2022-10-10,32.4500000000,32.7300000000
2022-10-11,33.6300000000,33.3600000000
2022-10-12,33.5700000000,33.1300000000
2022-10-13,31.9400000000,31.8000000000
2022-10-14,32.0200000000,32.4500000000
2022-10-17,31.3700000000,31.7400000000
2022-10-18,30.5000000000,30.9800000000
2022-10-19,30.7600000000,31.3500000000
2022-10-20,29.9800000000,30.8100000000
2022-10-21,29.6900000000,30.4700000000
2022-10-24,29.8500000000,30.3300000000
2022-10-25,28.4600000000,29.2900000000
2022-10-26,27.2800000000,28.4600000000
2022-10-27,27.3900000000,28.2800000000
2022-10-28,25.7500000000,26.9000000000
2022-10-31,25.8800000000,26.9200000000
2022-11-01,25.8100000000,26.6900000000
2022-11-02,25.8600000000,27.2200000000
2022-11-03,25.3000000000,26.7000000000
2022-11-04,24.5500000000,26.3900000000
2022-11-07,24.3500000000,26.2600000000
2022-11-08,25.5400000000,27.1000000000
2022-11-09,26.0900000000,27.9100000000
2022-11-10,23.5300000000,26.1800000000
2022-11-11,22.5200000000,25.7400000000
2022-11-14,23.7300000000,26.1300000000
2022-11-15,24.5400000000,26.5900000000
2022-11-16,24.1100000000,26.0300000000
2022-11-17,23.9300000000,25.8300000000
2022-11-18,23.1200000000,25.3300000000
2022-11-21,22.3600000000,24.7200000000
2022-11-22,21.2900000000,23.8300000000
2022-11-23,20.3500000000,23.3800000000
2022-11-24,20.4200000000,
2022-11-25,20.5000000000,23.5900000000
2022-11-28,22.2100000000,24.9000000000
2022-11-29,21.8900000000,24.6500000000
2022-11-30,20.5800000000,23.5300000000
2022-12-01,19.8400000000,23.3100000000
2022-12-02,19.0600000000,22.9600000000
2022-12-05,20.7500000000,23.8900000000
2022-12-06,22.1700000000,24.7200000000
2022-12-07,22.6800000000,25.1800000000
2022-12-08,22.2900000000,24.7300000000
2022-12-09,22.8300000000,25.2100000000
2022-12-12,25.0000000000,25.6700000000
2022-12-13,22.5500000000,24.2900000000
2022-12-14,21.1400000000,23.4600000000
2022-12-15,22.8300000000,25.0800000000
2022-12-16,22.6200000000,25.1500000000
