end,start,strategy,annualized_return,max_drawdown
2012-12-31,2009-12-30,selected,0.13531322901796838,-0.15886945804290298
2013-01-02,2009-12-31,QQQ,0.1450341905601109,-0.16099267605668144
2013-01-02,2009-12-31,selected,0.14596017506229453,-0.15886945804290298
2013-01-03,2010-01-04,QQQ,0.14652996364285653,-0.160992676056681
2013-01-03,2010-01-04,selected,0.14742054585266762,-0.1588694580429032
2013-01-04,2010-01-05,QQQ,0.13973415003967293,-0.16099267605668088
2013-01-04,2010-01-05,selected,0.14065443081848894,-0.1588694580429031
2013-01-07,2010-01-06,QQQ,0.13984813679249997,-0.16099267605668088
2013-01-07,2010-01-06,selected,0.14075842033859032,-0.1588694580429033
2013-01-08,2010-01-07,QQQ,0.14140617767398211,-0.1609926760566811
2013-01-08,2010-01-07,selected,0.14229568683226934,-0.1588694580429031
2013-01-09,2010-01-08,QQQ,0.14258667915398582,-0.16099267605668144
2013-01-09,2010-01-08,selected,0.14347422377028307,-0.1588694580429033
2013-01-10,2010-01-11,QQQ,0.14174026226295,-0.160992676056681
2013-01-10,2010-01-11,selected,0.1426412831260666,-0.15886945804290298
2013-01-11,2010-01-12,QQQ,0.14380803450063984,-0.16099267605668122
2013-01-11,2010-01-12,selected,0.14466791603807105,-0.15886945804290298
2013-01-14,2010-01-13,QQQ,0.1469079939123603,-0.16099267605668122
2013-01-14,2010-01-13,selected,0.14776152594094683,-0.15886945804290298
2013-01-15,2010-01-14,QQQ,0.14030784963689036,-0.16099267605668088
2013-01-15,2010-01-14,selected,0.14122309391250232,-0.15886945804290287
2013-01-16,2010-01-15,QQQ,0.14151755783144182,-0.16099267605668077
2013-01-16,2010-01-15,selected,0.14241076164159838,-0.15886945804290298
2013-01-17,2010-01-19,QQQ,0.14780579820402084,-0.1609926760566811
2013-01-17,2010-01-19,selected,0.14865538110595233,-0.15886945804290264
2013-01-18,2010-01-20,QQQ,0.14084661787866848,-0.160992676056681
2013-01-18,2010-01-20,selected,0.14175445885649007,-0.1588694580429031
2013-01-22,2010-01-21,QQQ,0.14699476793078392,-0.1609926760566811
2013-01-22,2010-01-21,selected,0.14788517721713723,-0.15886945804290298
2013-01-23,2010-01-22,QQQ,0.15293317814973362,-0.1609926760566811
2013-01-23,2010-01-22,selected,0.15378412094616123,-0.1588694580429032
2013-01-24,2010-01-25,QQQ,0.15902849700711785,-0.16099267605668088
2013-01-24,2010-01-25,selected,0.159820150589997,-0.15886945804290276
2013-01-25,2010-01-26,QQQ,0.15968396651177597,-0.16099267605668088
2013-01-25,2010-01-26,selected,0.1604520038244599,-0.1588694580429031
2013-01-28,2010-01-27,QQQ,0.16019991198692973,-0.16099267605668133
2013-01-28,2010-01-27,selected,0.16095400839197382,-0.1588694580429031
2013-01-29,2010-01-28,QQQ,0.15722134770104867,-0.16099267605668088
2013-01-29,2010-01-28,selected,0.15802456438766743,-0.15886945804290276
2013-01-30,2010-01-29,QQQ,0.1665072115677826,-0.16099267605668088
2013-01-30,2010-01-29,selected,0.1672365092947501,-0.15886945804290342
2013-01-31,2010-02-01,QQQ,0.17249700923234657,-0.160992676056681
2013-01-31,2010-02-01,selected,0.17316948453347325,-0.15886945804290287
2013-02-01,2010-02-02,QQQ,0.17281767152899907,-0.16099267605668077
2013-02-01,2010-02-02,selected,0.1734547317820092,-0.1588694580429031
2013-02-04,2010-02-03,QQQ,0.16247658369951612,-0.16099267605668055
2013-02-04,2010-02-03,selected,0.1632065421285014,-0.15886945804290287
2013-02-05,2010-02-04,QQQ,0.16602794003418153,-0.16099267605668044
2013-02-05,2010-02-04,selected,0.1667364615150586,-0.15886945804290287
2013-02-06,2010-02-05,QQQ,0.1762149882501507,-0.16099267605668088
2013-02-06,2010-02-05,selected,0.1768915828324591,-0.15886945804290298
2013-02-07,2010-02-08,QQQ,0.17327093811602978,-0.16099267605668077
2013-02-07,2010-02-08,selected,0.1739662532399966,-0.15886945804290342
